S/N,NAME OF COMPANY,INTEREST RATE FLAT MONTHLY,TENOR PER MONTH,MAX LOAN AMOUNT ('000),LENGTH OF SERVICE (MONTHS)
169,FIRST RIVERS HOSPITAL,15,30,50,3
170,FLEETWOOD TRANSPORATION,15,30,50,3
171,FLOUR MILLS OF NIGERIA,50,30,50,3
172,FMA ARCHITECTS,15,30,50,3
173,FMC TECHNOLOGIES INCORPORATED,50,30,50,3
174,FMDQ OTC SECURITY EXCHANGE,50,30,50,3
175,FOLAWIYO ENERGY LIMITED,15,30,50,3
176,FORTE OIL,50,30,50,3
177,FOUNDATION CONSTRUCTION (MANAGEMENT STAFF),50,30,50,3
178,FRIESLANDCAMPINA WAMCO NIGERIA PLC,50,30,50,3
179,FRONTIER OIL LIMITED,15,30,50,3
180,FUGRO NIGERIA LIMITED,15,30,50,3
181,GENERAL ELETRIC NIGEIA,50,30,50,3
182,GEO-SERVICES NIGERIA LTD,15,30,50,3
183,GERMAN EMBASSY,15,30,50,3
184,GLAXOSMITHKLINE CONSUMER NIGERIA PLC,50,30,50,3
185,GLOBACOM,15,30,50,3
186,GLOBESTAR ENGINEERING NIGERIA LTD,50,30,50,3
187,GMT GROUP (AND SUBSIDIARIES),15,30,50,3
188,GOOGLE NIGERIA,50,30,50,3
189,GRACELAND INTERNATIONAL SCHOOL,15,30,50,3
190,GRANGE SCHOOL,15,30,50,3
191,GREAT BRANDS NIGERIA LIMITED,15,30,50,3
192,GREENLIFE PHARMACEUTICALS,15,30,50,3
193,GREENSPRINGS,15,30,50,3
194,GREENWOOD HOUSE SCHOOL,15,30,50,3
195,GRIMALDI AGENY NIGERIA LIMITED,15,30,50,3
196,GROUP MEDICARE TRADEWINDS (GMT),15,30,50,3
197,GUINNESS NIGERIA PLC,50,30,50,3
198,HALIBURTON NIGERIA LIMITED,50,30,50,3
199,HALIFIELD SCHOOL,15,30,50,3
200,HAYAT KIMYA NIGERIAL LTD,15,30,50,3
501,HELOIS TOWERS NIGERIA LTD,15,30,50,3
502,HELWETT-PACKARD LIMITED NIGERIA,15,30,50,3
503,HITECH CONSTRUCTION,15,30,50,3
504,HJF MEDICAL RESEARCH INTERNATIONAL LTD/GTE (HJFMRI),15,30,50,3
505,HOBARK INTERNATIONAL LTD,15,30,50,3
506,HONEYWELL GROUP,15,30,50,3
507,HONGKONG AND SHANGHAI BANKING CORPORATION (HSBC),15,30,50,3
508,"HOUSE ON THE ROCK, ABUJA",15,30,50,3
509,HUAWEI NIGERIA LIMITED,15,30,50,3
200,HULL BLYTH NIGERIA,15,30,50,3
501,HYDRODIVE NIGERIA LIMITED,15,30,50,3
502,HYGEIA NIGERIA LTD,15,30,50,3
503,I.O. IBEECO INTERNATIONAL COMPANY LTD,15,30,50,3
504,IBM WEST AFRICA LIMITED,15,30,50,3
505,IDEAL EAGLE HOSPITAL,15,30,50,3
506,IHS NIGERIA,15,30,50,3
507,IMPERIAL HOMES (PREVIOUSLY GTHOMES),15,30,50,3
508,INDORAMA GROUP,50,30,50,3
509,INFRA CREDIT,50,30,50,3
200,INLAK COMPUTESR,15,30,50,3
250,INLAND CONTAINERS,15,30,50,3
502,INSTITUTE OF CHATERED ACCOUNTANTS OF NIGERIA,15,30,50,3
505,INSTITUTE OF HUMAN VIROLOGY NIGERIA LIMITED,15,30,50,3
504,INTERCONTINIENTAL DISTILLERIES,50,30,50,3
505,INTERNATIONAL INSTITUTE FOR TROPICAL AGRICULTURE (IITA),15,30,50,3
506,INTERSWITCH LTD,50,30,50,3
507,INVESTMENT ONE FINANCIAL SERVICES,15,30,50,3
508,ITALIAN EMBASSY,15,30,50,3
509,ITB CONSTRUCTION,15,30,50,3
150,JACKSON ETTI & EDU,15,30,50,3
151,JAGAL AND SWISCO,15,30,50,3
152,JAPAUL OIL AND MARITIME COMPANY,15,30,50,3
153,JESUIT MEMORIAL COLLEGE,15,30,50,3
154,JIGAWA STATE LEGISLATORS,50,30,50,3
155,JOHNSON WAX,15,30,50,3
156,JOSEPH AYO BABALOLA UNIVERSITY,15,30,50,3
157,JUBAILI BROTHERS,15,30,50,3
158,JULIUS BERGER NIGERIA LIMITED,15,30,50,3
159,JUMIA NIGERIA (E-CART INTERNET SERVICES),15,30,50,3
240,KADUNA BUSINESS SCHOOL,15,30,50,3
241,KANO STATE GOVERNMENT EMPLOYEES,15,30,50,3
242,KCA DEUTAG NIGERIA LTD,50,30,50,3
243,KIMBERLY CLARK - SSA WEST AFRICA LTD,15,30,50,3
244,KLM AND AIR FRANCE,15,30,50,3
245,KONGA NIGERIA,15,30,50,3
246,KPMG PROFESSIONAL SERVICES,50,30,50,3
247,KUNOCH LTD,15,30,50,3
248,LADOKE AKINTOLA UNIVERSITY OF TECHNOLOGY,15,30,50,3
249,LADOKE AKINTOLA UNIVERSITY OF TECHNOLOGY TEACHING HOSPITAL,15,30,50,3
250,LAFARGE CEMENT ,50,30,50,3
251,LAGOS BUSINESS SCHOOL,15,30,50,3
252,LAGOS DEEP OFFSHORE LOGISTICS (LADOL),50,30,50,3
253,LAGOS STATE GOVERNMENT,15,30,50,3
254,LAGOS STATE HOUSE OF ASSEMBLY LEGISLATORS,15,30,50,3
255,LASACO INSURANCE,15,30,50,3
256,LEAD BRITISH INTERNATIONAL SCHOOL,15,30,50,3
257,LEADWAY INSURANCE,50,30,50,3
258,LEAN INDUSTRIES LTD,15,30,50,3
259,LENOVO TECHNOLOGY WEST AFRICA,15,30,50,3
260,LIFE FLOUR GROUP,15,30,50,3
261,"LINGTON AND BERNIE CONSULTING ( SECONDED TO ADDAX, MOBIL AND NNLG)",15,30,50,3
262,LM ERICSSON (NIGERIA) LIMITED,15,30,50,3
263,L'OREAL INTERNATIONAL,15,30,50,3
264,LUCKY FIBRES LIMITED,15,30,50,3
265,LUFTHANSA NIGERIA,15,30,50,3
266,"LUTH AND COLLEGE OF MEDICINE, IDI-ARABA",15,30,50,3
267,MAERSK NIGERIA LIMITED,50,30,50,3
268,MAAYOIT HEALTHCARE LIMITED,15,30,50,3
269,MAIDUGURI FLOUR MILLS,15,30,50,3
270,MAINONE CABLE COMPANY NIGERIA,15,30,50,3
271,MAINSTREAM ENERGY SOLUTIONS,50,30,50,3
272,MAKON ENGINEERING AND TECHNICAL SERVICES LIMITED,15,30,50,3
273,MANAGEMENT SERVICES GSM NETWORKS LTD,15,30,50,3
274,MANSFIELD ENERGY,15,30,50,3
275,MANTRAC NIGERIA,50,30,50,3
276,MART UMUSADEGE RESOURCSE NIG LTD,15,30,50,3
277,MAY AND BAKER NIGEIRA PLC,15,30,50,3
278,MEADOW HALL SCHOOLS,15,30,50,3
279,METROHEALTH HMO LIMITED,15,30,50,3
280,MICROSOFT NIG LTD,50,30,50,3
281,MID WESTERN OIL AND GAS,15,30,50,3
282,MITSUI OSK LINES,15,30,50,3
283,MOBIL OIL NIGERIA,50,30,50,3
284,MONEY GRAM PAYMENT SYSTEMS,15,30,50,3
285,"MOODY (CONTRACT STAFF OUTSOURCED TO CHEVRON, EXXONMOBIL, TOTAL E&P, AGIP, ADDAX AND SPDC",15,30,50,3
286,MOTOROLA NIGERIA LTD,15,30,50,3
287,MRS OIL NIGERIA PLC,50,30,50,3
288,MSPH NIGERIA LLC/ CENTRE FOR INTEGRATED HEALTH,15,30,50,3
289,MTN COMMUNICATIONS NIGERIA,50,30,50,3
290,MULTIPLAN NIGERIA LTD,15,30,50,3
291,MULTISHIELD LIMITED,15,30,50,3
292,NATIONAL ASSEMBLY,15,30,50,3
293,NATIONAL ASSOCIATION OF SECURITIES DEALERS PLC,15,30,50,3
294,NATIONAL DRUGS LAW ENFORCEMENT AGENCY (NDLEA),50,30,50,3
295,NATIONAL EYE CENTRE,15,30,50,3
296,"NATIONAL STEEL RAW MATERAILS AGENCY, KADUNA",15,30,50,3
297,NATIONAL YOUTH SERVICE CORPS,15,30,50,3
298,ND WESTERN,15,30,50,3
299,NECONDE ENERGY LTD,50,30,200,3
300,NERINE SUPPORT SERVICES,15,30,50,3
301,NESTLE NIGERIA PLC,50,30,200,3
302,NESTOIL NIGEIRA PLC,50,30,200,3
303,NETAPP INC ,50,30,50,3
304,NETCOM AFRICA LTD,15,30,50,3
305,NEW HORIZONS COLLEGE,15,30,50,3
306,NEW NIGERIA DEVELOPMENT COMPANY,15,30,50,3
307,NEXANS KEBEL METAL NIGERIA PLC,15,30,50,3
308,NEXEN PETROLEUM NIGERIA,15,30,50,3
309,NEXUS ALLIANCE,15,30,50,3
350,NIGER DELTA EXPLORATION AND PRODUCTION LIMITED,15,30,200,3
311,NIGER DELTA PETROLEUM RESOURCES LIMITED,15,30,200,3
312,NIGERIA AGIP OIL COMPANY LIMITED,19,30,200,3
313,NIGERIA AVIATION HOLDING COMPANY,15,30,50,3
314,NIGERIA BALL POINT PEN IND LTD,15,30,50,3
315,NIGERIA BOTTLING COMPANY LTD,50,30,50,3
316,NIGERIA CUSTOM SERVICE,50,30,50,3
317,NIGERIA DEPOSIT INSURANCE CORPORATION (NDIC),50,30,200,3
318,NIGERIA FIRE SERVICE,50,30,50,3
319,NIGERIA IMMIGRATION SERVICE,50,30,50,3
350,NIGERIA INTELLIGENCE AGENCY (NIA),50,30,50,3
350,NIGERIA INTERBANK SETTLEMENT SYSTEM (NIBSS),50,30,200,3
350,NIGERIA LNG LTD (NLNG),19,30,200,3
315,NIGERIA MORTGAGE REFINANCE CORPORATION,50,30,50,3
324,NIGERIA MOTORS INDUSTRIES PLC,15,30,50,3
325,NIGERIA POLICE FORCE (NPF),50,30,50,3
326,NIGERIA REINSURANCE CORPORATION,15,30,50,3
327,NIGERIA SECURITY AND CIVIL DEFENCE CORPS (NSCDC),50,30,50,3
328,NIGERIA SOVEREIGN INVESTMENT AUTHORITY,50,30,50,3
329,NIGERIA TULIP INTERNATIONAL COLLEGE,15,30,50,3
330,NIGERIA TURKISH NILE UNIVERSITY,15,30,50,3
331,NIGERIAN AIR FORCE (NAF),50,30,50,3
332,NIGERIAN ARMY,50,30,50,3
333,NIGERIAN BAG MANUFACTURING (BAGCO) (PART OF THE FLOUR MILLS GROUP),15,30,50,3
334,NIGERIAN BAPTIST THEOLOGICAL SEMINARY,15,30,50,3
335,NIGERIAN BREWERIES,50,30,200,3
336,NIGERIAN COLLEGE OF ACCOUNTANCY,15,30,50,3
337,NIGERIAN GERMAN CHEMICALS PLC,15,30,50,3
338,NIGERIAN MARITIME ADMINISTRATION AND SAFETY AGANCY (NIMASA),15,30,50,3
339,NIGERIAN NATIONAL PETROLEUM CORPORATION (NNPC) AND SUBSIDIARIES,19,30,50,3
340,NIGERIAN NAVY,50,30,50,3
341,NIGERIAN PORTS AUTHRITY (NPA),15,30,50,3
342,NIGERIAN PRISONS SERVICE,50,30,50,3
343,NIGERIAN SECURITY PRINTING AND MINTING CORPORATION,15,30,50,3
344,NIGERIAN STOCK EXCHANGE,50,30,50,3
345,NIGERITE LIMITED,15,30,50,3
346,NIZAMIYE HOSPITAL LIMITED,15,30,50,3
347,NLPC PENSION FUND ADMINISTRATORS LIMITED,50,30,50,3
348,NOKIA SIEMENS,15,30,50,3
349,NOKIA WEST AFRICA,15,30,50,3
350,NORTHERN NIGERIA FLOUR MILLS,15,30,50,3
351,NORTHERN NIGERIA INVESTMENT COMMERCIAL COMPANY LTD (NNIL),15,30,50,3
352,NOTORE CHEMICAL INDUSTRIES,15,30,200,3
353,NOVARTIS PHARMA AG,50,30,50,3
354,OANDO PLC,50,30,50,3
355,OCEAN & OIL HOLDINGS,15,30,50,3
356,OCEAN MARINE SECURITY LIMITED,15,30,50,3
357,ODUA INVESTMENT COMPANY LIMITED,15,30,50,3
358,OFFSHORE PERSONNEL SERVICES LIMITED,15,30,200,3
359,OILDATA WIRELINE,15,30,50,3
360,OILSERV LIMITED,15,30,50,3
361,OILTEST SERVICES NIGERIA LTD,15,30,50,3
362,OLAM NIGERIA LTD,50,30,200,3
363,OLANIWUN AJAYI AND COMPANY,50,30,200,3
364,ORACLE CORPORATIONS (AFRICA OPERATIONS),15,30,50,3
365,"ORANGE GROUP LIMITED (ORANGE KALBE LTD,ORANGE WEST AFRICA LIMITED,ORANGE DRUGS LIMITED)",15,30,50,3
366,"ORLEANS WEST AFRICA GROUP (INTELS NIG LTD, EKO SUPPORT SERVICES, WEST AFRICA MACHINEY & SERVICES LTD, WEST AFRICA CATERING NIGERIA, COBEL CONSTRUCTION SERVICES NIGERIA, PLASTIC PIPES NIGERIA LTD, TENARIS GLOBAL SERVICES LTD, AIR CONTROL & COOLING SERVICES LTD, PLASTIC PIPES NIGERIA LTD, ONNE REAL ESTATE)",50,30,50,3
367,ORWELL INTL OIL & GAS LTD,15,30,50,3
368,OSUN STATE UNIVERSITY  (UNIOSUN),15,30,50,3
369,OTHER FEDERAL GOVERNMENT ORGANIZATIONS,15,30,50,3
370,OTHER STATE GOVERNMENT ORGANIZATIONS ,15,30,50,3
371,PACIFIC INTERNATIONAL DRILLING WEST AFRICA LIMITED,50,30,50,3
372,PAN AFRICAN AIRLINES,15,30,50,3
373,PAN AFRICAN UNIVERSITY,15,30,50,3
374,PERNOD RICARD,50,30,50,3
375,PETRO DATA,15,30,50,3
376,PETROLEO BRASILEIRO NIGERIA LTD (PETRO BRASS),50,30,50,3
377,PETROLEUM EQUILIZATION FUND (MANAGEMENT) BOARD (PEF),50,30,50,3
378,PETROLEUM PRODUCTS PRICING REGULATORY AGENCY (PPPRA),50,30,50,3
379,PETROLEUM TECHNOLOGY DEVELOPMENT TRUST FUND,15,30,50,3
380,PETROMARINE NIGERIA LTD,50,30,50,3
381,PFIZER PHARMACEUTICALS LTD,15,30,50,3
382,PGS EXPLORATION (NIGERIA) LIMITED,15,30,50,3
383,PHILIPS CONSULTING,15,30,50,3
384,PHILIPS OUTSOURCING,50,30,50,3
385,PHILLIP MORRIS INT'L LTD,50,30,50,3
386,PONTICELLI NIGERIA LTD,15,30,50,3
387,PORTS AND TERMINAL MULTISERVICE LTD,15,30,50,3
388,PPC LIMITED,15,30,50,3
389,PREMIER MEDICAL CONSULTANTS,15,30,50,3
390,PREMIER SPECIALIST HOSPITAL,15,30,50,3
391,PRICE WATERHOUSE COOPERS,50,30,50,3
392,PRIME ATLANTIC LIMITED,15,30,50,3
393,PRIVATE NETWORKS NIG. LTD,15,30,50,3
394,PROCTER AND GAMBLE NIGERIA LIMITED,50,30,50,3
395,PRODECO INTERNATIONAL LTD,15,30,50,3
396,PROGENICS CORP LTD,15,30,50,3
397,PROMASIDOR NIGERIA,15,30,50,3
398,PUNCH NEWSPAPER,15,30,50,3
399,PURECHEM MANUFACTURING INDUSTRIES LIMITED,15,30,50,3
400,PZ CUSSONS NIGERIA PLC,50,30,50,3
401,QATAR AIRLINES,15,30,50,3
402,RAND MERCHANT BANK,15,30,50,3
403,RANGER SUB SEA LIMITED,15,30,50,3
404,RECKITT BENCKISER NIGERIA LIMITED,50,30,50,3
405,REDDINGTON HOSPITAL,15,30,50,3
406,RENAISSACE CAPITAL,50,30,50,3
407,RENMONEY MFB LTD,50,30,50,3
408,RESOURCERY PLC,15,30,50,3
409,RESTRAL LIMITED,15,30,50,3
450,RIVERS STATE GOVERNMENT,15,30,50,3
411,ROSAAB INTERNATIONAL LIMITED,15,30,50,3
412,RT BRISCOE,15,30,50,3
413,RUSSELSMITH NIGERIA LIMITED,15,30,50,3
